Wetland Type - Provincial Class,Wetland Type - Federal Class,Water Regime Indicator,Specific Vegetation Type,% Vegetation Cover for Specific Vegetation Cover Types,% High Woody Canopy Cover (>5m),% Moss Cover,Phragmites present (Y/N),Soil Type,% of Surface Water Present,Depth of Saturation (cm),Average Depth of Living Moss (cm),Average Total Depth of Organics,Average Organic Depth (cm),Hydrogeomorphic Class,SR,SR_Function,SR_Benefit,SR Benefit Rating,PR,PR_Function,PR_Benefit,PR Benefit Rating,NR,NR_Function,NR_Benefit,NR Benefit Rating,WS,WS_Function,WS_Benefit,WS Benefit Score
3,3,0,3,1,0,2,0,0,0,0,2.7,98.7,96.0,1,0.76,0,0.0,0,6.82,2,0.0,0,-0.29,0,0.0,0,3.2,1,0.0,0
2,5,0,0,0,0,2,0,0,0,0,2.7,48.3,45.59999999999999,0,10.0,2,0.0,0,10.0,0,10.0,0,10.0,2,0.0,0,6.85,2,0.0,0
4,3,0,4,0,0,2,0,0,0,0,2.3,67.3,65.0,4,2.623794999927682,0,4.662535614486191,1,3.72853841913274,1,6.632702297125707,2,3.340599306244696,1,10.0,2,2.760587238848108,1,0.0,0
0,0,3,1,0,0,1,0,0,4,0,2.3,62.3,60.0,1,2.12,0,0.0,0,5.18,1,0.0,0,1.91,0,0.0,0,3.53,1,0.0,0
3,8,0,3,0,1,2,0,1,0,0,2.3,31.7,29.4,1,10.0,2,0.0,0,10.0,2,0.0,0,10.0,2,0.0,0,6.53,2,0.0,0
3,8,0,3,1,1,2,0,1,2,0,2.3,23.3,21.0,6,10.0,2,0.0,0,10.0,0,0.0,0,10.0,0,0.0,0,6.35,1,0.0,0
0,0,3,3,1,2,2,0,0,3,0,2.0,103.7,101.7,1,2.28,0,4.56,1,4.95,1,6.18,2,1.31,0,10.0,2,2.55,0,3.14,1
3,3,0,3,3,1,2,0,0,0,0,2.0,48.3,46.3,0,10.0,2,0.0,0,10.0,2,0.0,0,10.0,2,0.0,0,6.35,1,0.0,0
4,8,3,4,1,0,2,2,0,4,0,2.0,38.7,36.7,1,1.87,0,0.0,0,6.23,2,2.11,1,2.17,0,10.0,2,1.4,0,3.95,1
1,1,3,1,0,0,1,0,2,4,0,2.0,34.0,32.0,1,1.55,0,4.54,1,5.13,1,6.41,2,1.3,0,4.83,1,0.86,0,3.84,1
1,4,0,0,1,0,1,0,0,0,0,1.7,62.0,60.3,4,2.7,0,4.23,1,3.33,1,5.97,2,2.94,1,4.62,1,2.06,0,0.0,0
3,8,1,3,0,2,2,0,0,0,2,1.7,41.3,39.59999999999999,0,10.0,2,0.0,0,10.0,2,0.0,0,10.0,2,10.0,2,7.613636363636362,2,3.14231421784866,1
2,5,0,3,1,1,2,0,1,0,0,1.7,27.7,26.0,0,8.08,2,0.0,0,10.0,2,0.0,0,10.0,2,0.0,0,9.41,2,0.0,0
4,8,3,4,0,0,3,0,2,4,0,1.7,14.7,13.0,1,1.74,0,4.57,1,3.61,1,6.49,2,2.33,1,4.62,1,1.31,0,10.0,2
4,8,0,4,0,0,3,0,1,0,2,1.3,29.3,28.0,3,3.09,0,10.0,2,3.55,1,10.0,2,2.88,1,10.0,2,2.3,0,0.0,0
1,4,0,0,1,0,3,0,0,4,0,1.0,45.0,44.0,8,3.28,0,4.91,1,5.45,1,6.65,2,3.56,1,10.0,2,1.74,0,0.0,0
4,3,3,4,1,0,3,0,0,3,0,1.0,33.0,32.0,3,2.08,0,4.38,1,5.3,1,6.19,2,0.86,0,5.06,1,1.19,0,0.0,0
3,8,3,3,0,1,2,0,1,3,0,1.0,29.7,28.7,4,2.323729190471368,0,4.072010679252706,1,3.490997806631714,1,6.314371464850516,2,3.538703760108813,1,3.717948717948717,1,1.902879728966685,0,0.0,0
3,3,0,3,3,1,3,0,0,2,0,0.7,83.3,82.6,0,6.64,1,0.0,1,10.0,2,0.0,0,10.0,2,10.0,2,9.41,2,0.0,0
3,3,0,3,1,1,2,0,0,0,0,0.7,74.0,73.3,1,2.003138604839527,0,0.0,0,5.274499454590239,1,0.0,0,2.860476598691509,1,0.0,0,3.58498023715415,1,0.0,0
3,8,1,5,0,2,2,0,2,0,0,0.7,7.7,7.0,1,10.0,2,0.0,0,10.0,2,0.0,0,10.0,0,0.0,0,8.09,2,0.0,0
3,3,1,3,1,1,3,0,0,0,0,0.3,40.3,40.0,4,1.674192267268352,0,4.135076449034923,1,3.615609275484711,1,5.826653584208704,2,1.578636405266818,0,3.717948717948717,1,2.476002258610954,0,0.0,0
3,8,1,3,0,1,1,0,1,0,0,0.3,26.0,25.7,3,2.38,0,4.12,1,4.14,1,5.81,2,2.82,1,3.72,1,5.26,1,0.0,0
4,8,3,1,1,2,3,0,1,3,0,0.3,23.7,23.4,8,3.04,0,4.51,1,3.43,1,6.4,2,1.67,0,5.06,1,2.09,0,0.0,0
1,1,0,0,1,0,4,0,2,0,0,0.3,6.7,6.4,4,4.369850565010858,1,4.671852148658565,1,3.514974388361911,1,6.733249781500965,2,2.689160989557429,1,10.0,2,5.02540937323546,1,0.0,0
2,5,0,1,1,3,2,0,0,2,0,0.0,0.0,250.0,0,5.68,1,0.0,0,10.0,2,0.0,0,10.0,2,0.0,0,7.43,2,0.0,0
2,2,0,1,1,2,0,0,0,5,0,0.0,0.0,94.3,0,7.84,2,10.0,2,10.0,2,10.0,2,10.0,2,10.0,2,9.01,2,0.0,0
0,6,0,1,0,0,0,0,0,5,0,0.0,0.0,94.0,0,8.56,2,0.0,0,10.0,2,0.0,0,10.0,2,0.0,0,9.01,2,5.31,1
2,2,0,1,1,2,0,0,0,5,0,0.0,0.0,88.0,0,3.52,1,10.0,2,10.0,2,10.0,2,10.0,2,10.0,2,6.64,2,0.0,0
2,5,0,0,0,0,0,0,0,0,0,0.0,0.0,86.3,0,10.0,2,10.0,2,10.0,2,10.0,2,10.0,2,10.0,2,6.101778656126483,1,0.0,0
0,0,3,6,1,0,2,0,0,1,0,0.0,0.0,80.7,1,1.641483615821544,0,0.0,0,6.467487378497618,2,0.0,0,2.071467784518323,0,0.0,0,0.1383399209486164,0,3.9491007804547,1
3,3,0,3,1,1,0,0,0,0,1,0.0,0.0,71.0,1,5.68,1,0.0,0,8.83,2,0.0,0,1.71,0,10.0,2,7.43,2,4.17,1
2,2,0,1,0,3,2,0,0,0,0,0.0,0.0,58.3,1,10.0,2,0.0,0,10.0,2,0.0,0,10.0,2,0.0,0,6.927583286278939,2,0.0,0
0,0,0,1,0,0,2,0,0,3,0,0.0,0.0,58.0,1,2.2,0,0.0,0,5.96,2,0.0,0,2.06,0,10.0,2,3.77,1,0.0,0
2,5,0,0,0,0,0,0,0,2,0,0.0,0.0,53.3,0,6.398559423769507,1,0.0,0,10.0,2,0.0,0,10.0,2,0.0,0,8.221343873517789,2,0.0,0
0,6,1,0,0,0,2,0,0,6,0,0.0,0.0,42.7,9,3.72517165213762,1,4.043344420260789,1,3.465797362260997,1,5.686471199353573,2,1.446186753416801,0,3.717948717948717,1,2.61829474872953,0,0.0,0
3,8,0,3,1,1,2,0,1,0,0,0.0,0.0,32.7,1,1.583259809948076,0,0.0,0,6.277232368016703,2,0.0,0,3.129860630717715,1,3.11965811965812,1,4.229249011857707,1,10.0,2
4,8,1,4,0,3,1,0,1,0,0,0.0,0.0,27.0,1,-0.1,0,0.0,0,4.82,1,0.0,0,0.7,0,0.0,0,3.4,1,0.0,0
1,4,3,0,2,0,4,0,1,3,0,0.0,0.0,26.7,8,3.18,0,4.78,1,5.89,2,6.9,2,2.52,1,5.66,1,2.19,0,0.0,0
0,0,0,0,1,0,2,0,1,0,0,0.0,0.0,26.0,1,10.0,2,0.0,0,10.0,2,0.0,0,10.0,2,3.717948717948718,1,7.065923207227555,2,0.0,0
4,3,1,4,0,2,4,3,2,0,0,0.0,0.0,22.3,8,3.23,0,4.55,1,4.73,1,6.46,2,1.18,0,10.0,2,1.6,0,5.26,1
1,4,3,0,1,0,4,2,1,4,0,0.0,0.0,21.0,1,1.8,0,0.0,0,4.78,1,2.02,1,1.874014641848722,0,3.269230769230769,1,1.11,0,3.71,1
4,3,1,4,1,2,3,0,2,0,0,0.0,0.0,18.3,1,3.78,1,4.65,1,2.83,0,6.69,2,2.68,1,4.76,1,3.0,1,0.0,0
4,8,1,4,1,0,2,0,2,5,1,0.0,0.0,0.0,1,2.6,0,0.0,0,5.84,2,0.0,0,1.04,0,0.0,0,4.6,1,0.0,0
3,8,0,3,1,1,1,0,2,0,0,0.0,0.0,0.0,5,-0.08,0,5.24,1,3.19,1,10.0,2,-0.15,0,10.0,2,0.0,0,3.72,1
